scaffold	markerid	gene	Superkingdom	Phylum	Class	Order	Family	Genus	Species
contig-100_0	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	(unassigned)	(unassigned)	(unassigned)	Olavius algarvensis Delta 4 endosymbiont
contig-100_1	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio sulfidiphilus
contig-100_10	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	(unassigned)	(unassigned)	(unassigned)	endosymbiont of unidentified scaly snail isolate Monju
contig-100_100	NA	NA	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii
contig-100_10013	NA	NA	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
contig-100_10014	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas knackmussii
contig-100_10023	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	Syntrophobacter fumaroxidans
contig-100_10029	NA	NA	Eukaryota	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Danio	Danio rerio
contig-100_1003	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thioflavicoccus	Thioflavicoccus mobilis
contig-100_1004	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatibacillum	Desulfatibacillum alkenivorans
contig-100_10067	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio sulfidiphilus
contig-100_10068	NA	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	Spirochaeta smaragdinae
contig-100_10083	NA	NA	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides
contig-100_10090	NA	NA	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
contig-100_10098	NA	NA	Eukaryota	Platyhelminthes	Cestoda	Diphyllobothriidea	Diphyllobothriidae	Spirometra	Spirometra erinaceieuropaei
contig-100_101	NA	NA	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
contig-100_1010	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Marichromatium	Marichromatium purpuratum
contig-100_10102	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Marichromatium	Marichromatium purpuratum
contig-100_10103	NA	NA	Eukaryota	Chordata	(unassigned)	(unassigned)	Branchiostomidae	Branchiostoma	Branchiostoma floridae
