scaffold	markerid	gene	Superkingdom	Phylum	Class	Order	Family	Genus	Species
k99_10656	k99_10656_4	adk	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii
k99_31227	k99_31227_4478	adk	Archaea	Nanoarchaeota	Nanoarchaeum	Nanoarchaeum equitans	(Nanoarchaeum equitans)	(Nanoarchaeum equitans)	(Nanoarchaeum equitans)
k99_12659	k99_12659_363	adk	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus tokodaii
k99_3005	k99_3005_896	adk	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum arsenaticum
k99_5389	k99_5389_881	adk	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
k99_29122	k99_29122_521	adk	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis
k99_14935	k99_14935_935	adk	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii
k99_40793	k99_40793_87	adk	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
k99_7345	k99_7345_165	adk	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
k99_25581	k99_25581_789	adk	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus kandleri
k99_34482	k99_34482_92	adk	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax	Haloferax volcanii
k99_10869	k99_10869_766	adk	Archaea	Euryarchaeota	Aciduliprofundum	Aciduliprofundum boonei	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)
k99_25219	k99_25219_173	adk	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans
k99_40933	k99_40933_87	adk	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
k99_22721	k99_22721_640	adk	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum
k99_34760	k99_34760_834	adk	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum calidifontis
k99_32349	k99_32349_1457	argS	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum arsenaticum
k99_10487	k99_10487_1070	argS	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax	Haloferax volcanii
k99_31227	k99_31227_874	argS	Archaea	Nanoarchaeota	Nanoarchaeum	Nanoarchaeum equitans	(Nanoarchaeum equitans)	(Nanoarchaeum equitans)	(Nanoarchaeum equitans)
k99_34944	k99_34944_99	argS	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
k99_37354	k99_37354_3104	argS	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
k99_13206	k99_13206_568	argS	Archaea	Euryarchaeota	Aciduliprofundum	Aciduliprofundum boonei	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)
